Phi1	Phi	Phi2	X	Y
0.52052	2.58341	4.69409	178	6
0.51241	2.58331	4.69173	180	6
0.51405	2.58221	4.68807	182	6
0.5151	2.58376	4.69011	184	6
0.51262	2.58647	4.69195	186	6
0.51344	2.58267	4.69207	188	6
0.51333	2.58332	4.69183	190	6
0.51479	2.58252	4.69137	192	6
2.68741	2.1023	5.8776	0	8
2.68232	2.10337	5.87846	2	8
2.67484	2.108	5.8698	4	8
5.60783	1.55484	3.01725	6	8
5.60905	1.5542	3.01644	8	8
5.6158	1.54425	3.02549	10	8
5.62656	1.55496	3.01062	12	8
1.61222	1.93179	3.49084	14	8
6.2005	1.89721	4.33171	16	8
1.61623	1.93169	3.48985	18	8
6.19547	1.89958	4.33239	20	8
6.20588	1.90566	4.32744	22	8
6.20348	1.89598	4.33751	24	8
0.50558	0.80898	1.27315	26	8
4.94173	2.58912	2.47067	28	8
5.6987	1.14918	1.20842	30	8
5.69788	1.15127	1.21088	32	8
5.6973	1.14766	1.21497	34	8
5.69713	1.14753	1.21507	36	8
5.6992	1.14735	1.21435	38	8
5.69883	1.14733	1.21319	40	8
5.69699	1.14456	1.21768	42	8
5.68875	1.15306	1.22035	44	8
1.59483	2.29656	2.03991	46	8
1.59794	2.29096	2.03791	48	8
1.60065	2.29075	2.03755	50	8
1.61072	2.28594	2.04832	52	8
1.60343	2.28686	2.044	54	8
1.60155	2.28726	2.04362	56	8
1.60962	2.28686	2.05038	58	8
1.60733	2.28698	2.04341	60	8
1.61342	2.28735	2.04322	62	8
1.60758	2.28577	2.04134	64	8
1.60528	2.28843	2.03875	66	8
1.60473	2.28902	2.03774	68	8
1.60708	2.29054	2.04204	70	8
1.60664	2.29118	2.04209	72	8
0.28734	1.45839	1.74318	74	8
0.28717	1.45796	1.74154	76	8
0.28835	1.45345	1.73816	78	8
0.28928	1.45149	1.73368	80	8
0.28294	1.45512	1.73998	82	8
0.28455	1.45125	1.73827	84	8
0.28673	1.4539	1.73759	86	8
0.28416	1.45957	1.74074	88	8
2.92829	1.29904	2.83921	90	8
2.93228	1.28671	2.83538	92	8
2.92832	1.28593	2.83515	94	8
2.9304	1.28746	2.83604	96	8
2.9284	1.28563	2.83538	98	8
2.93053	1.28753	2.83582	100	8
2.93015	1.28748	2.83576	102	8
2.92781	1.28535	2.83528	104	8
4.41518	1.86123	5.99408	106	8
4.30752	2.60736	0.15071	108	8
4.29279	2.6025	0.14105	110	8
4.13521	1.04077	4.8013	112	8
4.13735	1.03918	4.8019	114	8
4.13318	1.03847	4.80123	116	8
4.13466	0.96552	2.07202	118	8
4.14555	0.96579	2.05719	120	8
4.14203	0.96475	2.05816	122	8
4.14224	0.9611	2.0544	124	8
4.1408	0.95698	2.05914	126	8
4.14558	0.94894	2.05628	128	8
4.14629	0.94869	2.05288	130	8
4.14293	0.95154	2.05841	132	8
4.13583	0.94205	2.06176	134	8
2.80461	1.34761	2.31968	136	8
4.52628	0.83606	1.31548	138	8
2.55946	1.85605	0.00188	140	8
0.97173	0.6164	0.95628	142	8
0.98738	0.61796	0.96244	144	8
1.06714	0.63475	0.7533	146	8
1.9356	2.02932	3.60994	148	8
1.93796	2.02603	3.6157	150	8
1.9347	2.02843	3.61124	152	8
1.93191	2.03078	3.60591	154	8
1.93121	2.02517	3.6127	156	8
0.5426	0.99612	1.55967	158	8
0.52399	2.58506	4.69407	160	8
0.51665	2.58694	4.69565	162	8
0.51769	2.58803	4.69491	164	8
0.51851	2.58355	4.69429	166	8
0.51679	2.58154	4.693	168	8
0.51908	2.58264	4.69144	170	8
0.51604	2.58184	4.69051	172	8
0.51779	2.57888	4.68789	174	8
0.51373	2.58337	4.69115	176	8
0.51615	2.58207	4.68891	178	8
0.51723	2.58545	4.69106	180	8
0.51354	2.58153	4.69032	182	8
0.51599	2.58137	4.69076	184	8
0.51582	2.58097	4.69027	186	8
0.51508	2.58337	4.69036	188	8
0.51194	2.5834	4.69197	190	8
0.5138	2.58678	4.69061	192	8
2.67938	2.10612	5.87245	0	10
2.67597	2.10921	5.87206	2	10
2.67681	2.11239	5.87083	4	10
0.89311	1.69508	1.54308	6	10
0.89546	1.69143	1.54774	8	10
5.61494	1.53809	3.01682	10	10
5.61109	1.55179	3.01844	12	10
5.6252	1.55915	3.00757	14	10
1.619	1.93139	3.48618	16	10
6.20842	1.90005	4.33439	18	10
1.87309	1.783	2.35531	20	10
1.85743	1.78304	2.35044	22	10
0.50285	0.81034	1.28305	24	10
0.50624	0.80863	1.27975	26	10
0.50489	0.81751	1.27433	28	10
5.6978	1.15286	1.20645	30	10
5.69562	1.14937	1.20923	32	10
5.69748	1.14705	1.21171	34	10
5.69758	1.14887	1.21317	36	10
5.69785	1.14865	1.21317	38	10
5.69699	1.14562	1.21824	40	10
5.69957	1.14574	1.21608	42	10
4.07781	2.30013	5.80846	44	10
5.98133	1.9162	3.9327	46	10
1.60125	2.28992	2.04513	48	10
1.60869	2.28863	2.04405	50	10
5.99621	1.91951	3.94021	52	10
1.60597	2.28709	2.0412	54	10
5.99211	1.92032	3.93708	56	10
1.60359	2.28723	2.04422	58	10
1.61542	2.28309	2.04611	60	10
1.61219	2.28426	2.04582	62	10
1.60924	2.28574	2.04343	64	10
1.61249	2.28528	2.04923	66	10
1.60945	2.29265	2.04147	68	10
1.60244	2.29145	2.03917	70	10
1.60647	2.286	2.04302	72	10
1.59069	2.29562	2.02924	74	10
1.60026	2.29207	2.03352	76	10
1.24281	2.93843	5.65915	78	10
