X	Y	phi1	phi	phi2
8.0	60.0	2.68519	1.32927	2.71443
8.0	62.0	2.68591	1.32631	2.7109
8.0	64.0	2.68838	1.325	2.70957
8.0	66.0	1.60499	2.65093	5.2547
8.0	68.0	2.68761	1.32447	2.71253
8.0	70.0	1.60554	2.65209	5.25553
8.0	72.0	4.74028	0.50742	1.03819
8.0	74.0	4.73629	0.50148	1.03836
8.0	76.0	2.68059	1.33326	5.84434
8.0	78.0	1.5582	1.19981	3.08962
8.0	80.0	1.56219	1.19675	3.08697
8.0	82.0	3.10911	1.62498	5.9099
8.0	84.0	3.10698	1.62122	5.90958
8.0	86.0	3.10788	1.61918	5.90649
8.0	88.0	3.1061	1.62539	5.90747
8.0	90.0	3.10789	1.61899	5.90827
8.0	92.0	3.10771	1.61655	5.90806
8.0	94.0	3.10114	1.61391	5.90745
8.0	96.0	1.04712	1.79187	1.91949
8.0	98.0	1.02759	1.79037	1.91793
8.0	100.0	1.02633	1.79562	1.92372
8.0	102.0	1.02555	1.7951	1.92231
8.0	104.0	1.02449	1.79253	1.92561
8.0	106.0	1.0237	1.79024	1.91796
8.0	108.0	1.0229	1.79127	1.91955
8.0	110.0	1.02492	1.79158	1.92492
8.0	112.0	1.02431	1.79398	1.92623
8.0	114.0	1.0276	1.78711	1.92013
8.0	116.0	3.23374	1.85847	5.43702
8.0	118.0	4.56281	0.88266	1.93102
8.0	120.0	4.56664	0.87773	1.92702
8.0	122.0	4.56754	0.88469	1.93358
8.0	124.0	4.56964	0.88329	1.93596
8.0	126.0	4.57131	0.88482	1.9341
8.0	128.0	4.56638	0.8831	1.93498
8.0	130.0	4.56147	0.8786	1.94319
8.0	132.0	4.56479	0.88066	1.93977
8.0	134.0	4.56623	0.87942	1.93928
8.0	136.0	4.56097	0.87547	1.94525
8.0	138.0	2.75966	0.4861	2.85245
8.0	140.0	2.75799	0.48015	2.85581
8.0	142.0	2.75668	0.49091	2.86089
8.0	144.0	2.44227	2.0344	6.14033
8.0	146.0	2.44181	2.03757	6.13639
8.0	148.0	2.44183	2.03355	6.13795
8.0	150.0	2.44497	2.0349	6.13902
8.0	152.0	2.4375	2.03847	6.13338
8.0	154.0	2.43977	2.03568	6.14327
8.0	156.0	2.44277	2.03532	6.13981
8.0	158.0	0.96801	2.23685	2.45057
8.0	160.0	0.98178	2.23971	2.45643
8.0	162.0	0.96842	2.22676	2.43796
8.0	164.0	1.92782	1.99909	3.57895
8.0	166.0	1.91291	2.00134	2.01142
8.0	168.0	1.91124	1.99934	3.58166
8.0	170.0	1.90879	1.99623	3.58662
8.0	172.0	1.90928	1.99643	3.57618
8.0	174.0	1.91019	1.99749	3.57823
8.0	176.0	1.90907	1.99777	3.58245
8.0	178.0	1.90628	1.99689	3.57899
8.0	180.0	1.91076	1.9943	3.58429
8.0	182.0	1.90569	1.9953	3.57936
8.0	184.0	1.9105	1.99946	3.57893
8.0	186.0	1.91743	1.99444	3.59445
8.0	188.0	1.93658	1.99146	3.6088
8.0	190.0	1.93999	1.98957	3.60579
8.0	192.0	1.91488	1.99779	3.59211
10.0	0.0	1.61496	1.93863	3.48964
10.0	2.0	1.60872	1.9362	3.49065
10.0	4.0	1.61177	1.93252	3.4931
10.0	6.0	1.60588	1.93321	3.48949
10.0	8.0	5.6158	1.54425	3.02549
10.0	10.0	5.61494	1.53809	3.01682
10.0	12.0	0.89407	1.69384	1.54212
10.0	14.0	0.89055	1.694	1.542
10.0	16.0	0.89154	1.69225	1.53462
10.0	18.0	0.89178	1.69613	1.53756
10.0	20.0	0.88828	1.69186	1.53511
10.0	22.0	0.88696	1.69359	1.53435
10.0	24.0	0.88973	1.69224	1.53526
10.0	26.0	0.8902	1.69222	1.53458
10.0	28.0	0.88956	1.70052	1.53928
10.0	30.0	0.88499	1.69586	1.54048
10.0	32.0	0.66049	1.78037	1.48694
10.0	34.0	5.39225	1.48833	2.93397
10.0	36.0	5.38772	1.49298	2.93488
10.0	38.0	5.38747	1.49652	2.93281
10.0	40.0	5.38554	1.49262	2.93571
10.0	42.0	1.6448	1.26428	2.87703
10.0	44.0	1.64825	1.26326	2.88134
10.0	46.0	0.65181	1.77347	1.48994
10.0	48.0	0.91041	2.73517	5.59105
10.0	50.0	3.12945	1.82311	5.95053
10.0	52.0	3.1305	1.82293	5.95373
10.0	54.0	5.83393	2.00498	2.98283
10.0	56.0	5.84608	2.02028	4.55235
10.0	58.0	5.84569	2.01763	4.55264
10.0	60.0	5.84343	2.01549	4.55797
10.0	62.0	5.84051	2.00856	4.55734
10.0	64.0	1.59211	2.65285	5.24178
10.0	66.0	1.60703	2.65315	5.25678
10.0	68.0	2.68725	1.32573	2.71208
10.0	70.0	1.60573	2.64417	5.25626
10.0	72.0	4.70305	0.47781	1.05743
10.0	74.0	2.67839	1.33955	5.84863
10.0	76.0	1.56115	1.19963	3.08698
10.0	78.0	1.55799	1.19811	3.0886
10.0	80.0	3.1074	1.62374	5.90835
10.0	82.0	3.10746	1.62288	5.90758
10.0	84.0	3.10796	1.61932	5.90869
10.0	86.0	3.10484	1.62121	5.90955
10.0	88.0	3.10715	1.61952	5.91121
10.0	90.0	3.10722	1.62141	5.90728
10.0	92.0	3.10808	1.61871	5.90916
10.0	94.0	3.10078	1.61589	5.90764
10.0	96.0	3.10887	1.60438	5.9057
10.0	98.0	1.0436	1.79494	1.91561
10.0	100.0	1.02919	1.79038	1.91712
10.0	102.0	1.02552	1.79201	1.92311
10.0	104.0	1.02617	1.78947	1.91714
10.0	106.0	1.02346	1.79339	1.9197
10.0	108.0	1.02103	1.7932	1.92224
10.0	110.0	4.56461	0.89083	1.93931
10.0	112.0	4.55895	0.89809	1.95182
10.0	114.0	4.56411	0.88043	1.92877
10.0	116.0	4.57133	0.88263	1.93115
10.0	118.0	4.57488	0.88579	1.92881
10.0	120.0	4.56435	0.88265	1.93022
10.0	122.0	4.56771	0.88185	1.93114
10.0	124.0	4.57114	0.88667	1.93362
10.0	126.0	4.56186	0.88047	1.93942
