phi1,phi,phi2,X,Y,IQ
0.3691,1.3971,3.16785,12.0,37.0,60
0.3691,1.3971,3.16785,12.0,38.0,60
0.3691,1.3971,3.16785,12.0,39.0,60
0.3691,1.3971,3.16785,12.0,40.0,60
0.3691,1.3971,3.16785,13.0,0.0,60
0.3691,1.3971,3.16785,13.0,1.0,60
0.3691,1.3971,3.16785,13.0,2.0,60
0.3691,1.3971,3.16785,13.0,3.0,60
0.3691,1.3971,3.16785,13.0,4.0,60
0.3691,1.3971,3.16785,13.0,5.0,60
0.3691,1.3971,3.16785,13.0,6.0,60
0.3691,1.3971,3.16785,13.0,7.0,60
0.3691,1.3971,3.16785,13.0,8.0,60
0.3691,1.3971,3.16785,13.0,9.0,60
0.3691,1.3971,3.16785,13.0,10.0,60
0.3691,1.3971,3.16785,13.0,11.0,60
0.44925,0.54098,2.15558,13.0,12.0,60
0.44925,0.54098,2.15558,13.0,13.0,60
0.44925,0.54098,2.15558,13.0,14.0,60
0.44925,0.54098,2.15558,13.0,15.0,60
0.44925,0.54098,2.15558,13.0,16.0,60
0.44925,0.54098,2.15558,13.0,17.0,60
0.44925,0.54098,2.15558,13.0,18.0,60
0.44925,0.54098,2.15558,13.0,19.0,60
0.44925,0.54098,2.15558,13.0,20.0,60
0.44925,0.54098,2.15558,13.0,21.0,60
